filename,fish_species,confidence,red_ratio,error
20260427_073306~2.jpg,獅子魚,1.000,0.303,
20260427_073344~2.jpg,紅紋笛鯛 | 寒鯛 | 石佬,0.999 | 0.999 | 0.661,0.360 | 0.363 | 0.273,
20260427_073551~2.jpg,松鯛,0.999,0.341,
20260428_071827~2.jpg,日本血鯛 | 盤仔魚,1.000 | 1.000,0.334 | 0.359,
20260428_073447~2.jpg,長腰鮪魚,0.998,0.343,
20260428_073501~2.jpg,長腰鮪魚,0.999,0.394,
20260428_074001~2.jpg,紫金魚九牙,0.999,0.278,
20260428_075512~2.jpg,繡色細齒笛鯛 | 闊嘴 | 合人,0.961 | 1.000 | 0.422,0.415 | 0.368 | 0.268,
20260428_075536~2.jpg,青若梅鯛 | 青雞魚,0.999 | 0.999,0.393 | 0.380,
20260428_075544~2.jpg,青若梅鯛 | 青雞魚,0.999 | 1.000,0.373 | 0.379,
20260428_080308~3.jpg,剝皮魚,0.938,0.333,
20260428_080313~2.jpg,雲紋石斑,1.000,0.342,
20260428_091227~2.jpg,夢幻石鯛,0.999,0.318,
20260428_091235~2.jpg,紅鐵甲,0.992,0.365,
20260429_073723~2.jpg,黃鰭鮪魚,0.974,0.342,
20260429_074433~2.jpg,鶴鱵 | 水針,0.725 | 0.999,0.388 | 0.175,
20260429_075522~2.jpg,東方齒鰆 | 煙仔虎,0.884 | 1.000,0.388 | 0.267,
20260429_082101~2.jpg,長鰭螄 | 油甘,0.911 | 1.000,0.375 | 0.275,
20260429_082314~2.jpg,藍點石斑,0.999,0.320,
20260502_084547~2.jpg,芭蕉旗魚 | 傘旗魚,1.000 | 0.999,0.383 | 0.303,
20260521_073957~2.jpg,紅嘴唇 | 史氏紅諧魚,1.000 | 0.999,0.386 | 0.322,
20260521_074040~2.jpg,闊嘴攏,0.974,0.411,
20260521_082902~2.jpg,七帶石斑,0.952,0.296,
20260523_080652~2.jpg,阿氏龍占正龍占,1.000,0.288,
20260525_074338~2.jpg,紅嘴唇,0.999,0.314,
20260527_074111~2.jpg,赤羽太,1.000,0.247,
20260527_080533~2.jpg,黃斑狐鯛 | 三齒 | 雙帶狐鯛,0.987 | 0.889 | 0.914,0.410 | 0.334 | 0.436,
20260528_073726~2.jpg,金算午 | 絲鰭姫鯛,0.999 | 0.996,0.278 | 0.393,
20260528_073912~2.jpg,雙斑笛鯛 | 紅槽,0.999 | 1.000,0.383 | 0.344,
