fish_id,canonical_name,aliases
fish_001,紅紋笛鯛,赤筆
fish_002,寒鯛,石佬
fish_003,獅子魚,
fish_004,日本血鯛,盤仔魚 | 紅盤
fish_005,松鯛,
fish_006,長腰鮪魚,
fish_007,紫金魚,九牙
fish_008,繡色細齒笛鯛,
fish_009,闊嘴郎,闊嘴 | 闊嘴攏
fish_010,青若梅鯛,青雞魚
fish_011,剝皮魚,
fish_012,雲紋石斑,
fish_013,夢幻石鯛,
fish_014,堅鋸鱗魚,紅鐵甲
fish_015,黃鰭鮪魚,
fish_016,鶴鱵,水針
fish_017,東方齒鰆,煙仔虎
fish_018,長鰭鰤,油甘
fish_019,藍點石斑,
fish_020,芭蕉旗魚,傘旗魚
fish_021,史氏紅諧魚,紅嘴唇
fish_022,七帶石斑,
fish_023,阿氏龍占,
fish_024,正龍占,
fish_025,赤羽太,
fish_026,黃斑狐鯛,三齒
fish_027,雙帶狐鯛,
fish_028,絲鰭姬鯛,金算午
fish_029,雙斑笛鯛,紅槽
fish_030,雙帶鰺,拉倫
fish_031,單帶眶棘鱸,白孔仔
fish_032,紅鰓龍占,
fish_033,大棘大眼鯛,紅目鰱
fish_034,白線鮨,
fish_035,橙點石斑,
fish_036,宋氏九刺鮨,紅瓜子斑 | 紅石斑
fish_037,圓眼燕魚,富貴魚
fish_038,細點石斑魚,藍瓜子斑
fish_039,金目鯛,紅皮刀
fish_040,逆鉤鰺,刺蔥
fish_041,雪鯰,
fish_042,花鱸,海新娘
fish_043,狗母魚,
fish_044,鑲點石斑,
fish_045,弧紋石斑,
fish_046,真烏魴,黑嘉蠟
fish_047,赤鰭笛鯛,赤海
fish_048,三線磯鱸,黃雞魚
fish_049,黃帶龍占,
fish_050,條紋胡椒鯛,花身
fish_051,葉鯛,黑大目
fish_052,赤鯮,赤鯨
fish_053,黑鮪,黑鮭
fish_054,青衣,
fish_055,鸚哥,
fish_056,吻斑石斑,
fish_057,單斑笛鯛,黑點赤筆
fish_058,鋸尾鯛,黑豬哥
fish_059,花尾胡椒鯛,加志
fish_060,燕尾紅條,
fish_061,青星九刺鮨,紅石斑
fish_062,橫帶龍占,
fish_063,巴鰹,三點煙
fish_064,海鯽魚,
fish_065,希氏姬鯛,算午
fish_066,斑點雞籠鯧,銅盤
fish_067,瑪拉巴石斑,
fish_068,花尾鷹羽鯛,金花
fish_069,斜鱗笛鯛,
fish_070,濱鯛,正金蘭
fish_071,長尾濱鯛,金蘭 | 長尾鳥
fish_072,藍紋姬鯛,
fish_073,馬鞭魚,
fish_074,紅甘,
fish_075,白星笛鯛,
fish_076,裸頂鯛,月白
fish_077,駝背胡椒鯛,厚唇加志
fish_078,半環刺蓋魚,藍紋神仙
fish_079,石狗公,
fish_080,竹節鰆,石喬
fish_081,大白帶,
fish_082,翡翠龍占,
fish_083,黃若梅鯛,包公雞
fish_084,尖吻棘鯛,五棘鯛
fish_085,銀紋笛鯛,紅槽
fish_086,黑喉,
fish_087,紅目大眼鯛,
fish_088,黃足笛鯛,
fish_089,白吻雙帶立鰭鯛,黑白關刀
fish_090,日本骨鱗魚,鳳梨魚
fish_091,紅喉,
fish_092,真鯛,
fish_093,正鰹,
fish_094,鬼頭刀,
fish_095,長吻裸頰鯛,尖嘴龍占
fish_096,斑鰭金梭魚,
fish_097,錢鰻,
fish_098,寶石石斑,
fish_099,石磯,
fish_100,海雞母笛鯛,花臉
fish_101,黑點石斑,
fish_102,黃點胡椒鯛,細鱗加志
fish_103,異黑鯛,
fish_104,泰利鰺,牛港瓜
